1500 1536
1406 780 50
104 1137 427
652 1322 417
1096 541 45
1163 377 823
66 300 666
639 1263 857
282 437 917
512 768 106
676 1227 756
909 266 532
1391 1048 949
1321 1419 94
1483 279 712
858 1104 174
1195 1219 50
944 161 111
809 110 111
1054 1260 880
978 707 333
773 1451 350
670 832 902
345 481 321
1484 846 727
243 1189 835
1181 1060 167
764 439 959
910 214 162
1111 437 856
1 484 419
1234 724 927
599 1363 353
439 165 345
1347 899 223
301 541 200
583 841 133
1407 287 137
170 696 304
418 1449 166
975 313 435
451 455 336
755 861 43
979 1408 978
864 274 718
285 1000 720
1143 1098 838
192 356 576
463 917 198
255 492 599
255 812 845
1456 493 209
934 1053 19
1146 166 446
998 635 826
1054 24 712
1400 1252 969
1026 1465 671
842 1155 541
245 516 249
534 958 384
741 1428 213
1165 1040 611
696 1128 515
446 1065 144
823 1100 317
499 104 318
8 1132 447
438 727 39
424 511 866
351 1061 753
147 935 897
82 93 200
1281 719 301
1358 985 950
758 1138 772
954 1480 160
793 1462 275
1384 1042 486
80 283 354
1016 193 247
704 1370 265
960 1176 429
82 45 705
54 498 353
1482 1013 2
287 37 976
1095 1468 27
1469 1008 207
9 912 785
1014 1267 307
140 458 20
625 361 342
1458 880 161
405 1230 747
1461 1301 895
976 990 811
591 21 249
1466 1225 981
1164 436 146
299 543 528
930 811 965
121 212 498
223 1296 670
416 1419 47
253 356 974
782 920 912
1277 1475 716
206 931 833
1269 777 499
973 553 181
405 977 554
418 163 666
721 365 306
562 130 779
1039 779 932
499 23 292
1217 834 982
1294 387 675
956 250 125
1106 268 542
889 998 988
1181 884 655
498 1181 909
637 843 240
448 1031 224
455 78 264
798 439 237
189 1384 797
109 1448 121
1302 530 457
1432 860 854
850 196 244
1440 829 669
673 403 598
473 26 201
91 628 772
1343 625 151
611 1342 389
184 915 832
1468 1474 635
544 1055 781
70 53 431
1020 95 298
1233 407 282
1308 486 781
168 1069 491
1138 1204 236
1488 15 1000
1494 1327 847
1261 840 32
107 295 603
735 1237 697
1449 522 965
864 1082 141
29 457 407
336 1187 786
720 1400 614
1087 513 206
878 1342 802
534 1053 202
1051 284 66
1324 967 877
1254 1324 614
1045 271 895
175 824 160
1154 780 355
1038 1320 405
777 173 779
1400 367 339
269 378 217
1307 415 3
1331 438 451
1144 1234 35
588 533 208
17 355 814
678 153 260
1192 100 431
266 654 449
1321 67 15
191 1111 489
98 443 687
771 232 618
97 213 321
1236 24 340
1474 773 399
1201 1400 591
1138 1120 614
915 914 967
617 991 71
921 885 912
950 1154 921
685 587 983
1408 1434 672
1192 480 461
1261 1089 639
402 1315 5
815 728 129
129 23 603
66 937 607
1049 108 729
631 238 735
812 837 441
534 1414 569
137 903 589
787 720 634
1034 74 51
55 1213 988
536 837 675
754 733 723
619 1477 330
799 1017 808
1293 131 123
937 1062 835
241 463 319
333 1129 250
514 571 308
494 238 703
1368 867 522
706 891 206
897 319 645
941 1304 303
1478 593 732
485 1475 376
1420 420 447
249 945 310
1386 656 53
1037 1402 891
637 257 490
1060 129 500
376 258 490
124 535 859
1235 803 770
536 981 830
1176 931 319
1313 761 79
403 1172 197
530 407 78
985 47 325
790 291 798
734 159 515
852 1302 702
333 686 545
912 521 811
233 602 66
771 404 119
722 1178 705
177 43 508
751 12 572
15 1350 744
1147 439 635
783 1004 412
323 1471 334
382 372 555
1462 990 787
516 1057 969
514 286 895
1429 506 537
566 604 297
1066 1088 432
1072 1052 746
858 1155 644
1154 1195 109
760 216 237
423 188 305
940 781 164
1093 616 929
208 267 984
1032 549 719
1032 794 419
1372 92 114
859 584 994
1354 235 225
440 534 251
234 888 898
1240 611 757
177 1084 185
639 858 872
979 1344 116
797 1283 465
773 685 816
72 1121 527
617 1292 5
287 942 19
621 1001 287
529 1273 13
951 650 828
410 1260 17
1031 920 610
564 1193 924
1416 48 389
895 1082 314
865 941 744
140 643 31
665 905 864
223 705 953
1253 197 402
1058 761 527
535 704 530
1447 1425 328
1022 703 87
111 217 429
807 485 29
1054 524 2
1184 1321 208
649 714 399
835 716 384
835 1276 857
538 914 774
182 306 64
1435 425 29
18 440 638
959 452 165
882 1234 576
265 642 171
600 1118 408
310 782 469
1130 121 106
864 652 369
152 963 756
267 185 180
86 1014 332
519 1411 526
934 76 291
1124 455 626
1411 1167 144
1437 773 439
793 407 922
781 1480 442
18 827 16
85 1442 878
1358 457 251
369 222 840
841 152 929
1131 1483 123
906 1378 666
1262 1430 637
240 126 558
668 354 186
1152 731 875
1147 600 204
1216 522 140
78 974 240
1019 1488 247
1285 1208 703
247 1234 622
1409 192 924
1176 231 893
1043 1229 938
1481 1227 174
502 144 678
1430 444 718
1067 275 282
1208 480 540
833 383 95
814 1315 977
603 1387 314
955 433 187
854 1373 981
865 64 558
608 1315 404
1064 37 430
657 128 305
741 1366 838
75 629 336
283 216 97
1328 1149 895
1484 332 336
1437 756 35
1060 762 931
177 578 377
957 1192 967
737 657 342
1089 445 905
257 53 169
1357 1433 368
1067 284 904
281 577 181
135 1427 809
45 821 336
216 1287 723
277 979 86
863 974 889
895 277 842
365 1121 495
137 1107 969
1133 890 636
1479 182 215
3 284 390
340 1100 764
1001 1479 423
1408 1069 70
597 253 988
213 379 210
1409 1072 335
1056 621 260
289 924 457
1293 147 946
832 1455 406
111 628 958
1482 260 534
365 489 434
766 872 610
777 824 426
400 134 537
1461 991 177
375 269 683
1020 1269 52
1365 1018 806
624 722 306
1413 1439 511
1441 77 708
344 1059 636
627 309 748
1010 1367 172
491 23 149
1423 215 120
737 481 886
298 725 953
397 1202 601
231 335 392
5 912 991
402 775 56
945 518 649
1452 141 79
1352 874 203
626 66 236
1119 265 322
58 845 25
546 1471 481
1189 681 948
24 431 641
1388 1094 779
115 1019 264
1031 851 682
128 631 471
1000 110 786
1399 1452 970
869 1051 395
1487 86 576
1056 553 901
1066 738 761
517 227 955
1159 911 926
528 102 560
1435 425 581
1000 62 875
83 403 739
988 421 728
201 1336 632
537 1135 458
552 830 172
1121 611 437
1331 1153 344
1091 935 502
489 1358 386
1385 1005 96
181 1074 435
0 888 645
374 519 762
308 1293 282
1059 863 368
1027 180 5
1098 249 629
1371 1259 501
759 246 33
944 764 12
495 1487 74
8 609 59
1400 552 726
1102 1181 236
270 745 824
62 348 248
901 1149 21
512 149 159
734 881 992
1495 1272 349
297 672 54
692 628 483
615 231 760
1220 26 587
255 433 810
1095 46 499
1188 102 475
222 1405 985
234 960 179
159 1161 154
1147 751 892
400 328 636
1392 1155 294
499 112 69
1433 1385 202
492 790 81
217 139 596
861 179 532
754 1242 166
1499 1325 225
1308 1432 496
1445 631 252
372 414 240
200 637 153
1336 912 435
1374 530 395
1070 823 392
497 1425 315
448 146 163
218 1039 529
680 1129 56
143 436 358
416 560 177
443 1271 776
70 644 999
679 1380 782
1273 1167 553
786 60 33
466 279 34
690 777 848
966 423 228
135 888 731
752 1112 204
1241 458 646
710 1440 553
831 7 392
672 1398 789
1218 648 34
609 1431 50
607 62 877
1339 54 647
844 58 274
846 162 314
965 388 918
476 376 76
926 103 712
1215 1222 747
758 1482 716
355 1386 475
1368 1387 907
363 694 814
1379 374 356
1104 119 482
394 890 998
181 135 124
500 513 926
852 454 150
462 694 484
1251 1287 864
983 538 926
1144 1252 382
176 750 646
1331 588 991
857 396 475
1147 608 726
1089 322 890
1150 370 559
304 1293 570
764 163 952
1325 254 177
1254 264 196
1258 42 558
430 977 253
1035 1396 332
1033 51 698
510 966 206
51 784 394
1416 198 532
720 1016 84
1101 1373 555
760 71 182
547 902 651
35 1089 995
1411 570 476
522 334 128
1204 1379 411
613 544 985
168 1169 736
782 33 47
1399 948 866
463 109 460
574 400 200
735 1486 129
129 312 39
1196 1126 344
1009 1450 223
385 509 278
1454 746 61
752 716 93
654 1386 903
503 1495 685
66 901 378
46 0 920
689 250 433
130 655 572
942 1188 12
338 1364 925
890 1450 16
1305 474 734
1303 1143 152
1120 905 985
692 1368 59
209 226 333
990 1369 520
555 22 965
498 1114 126
477 490 352
1238 783 559
1469 555 654
433 1068 411
900 568 823
796 1186 459
1031 260 561
463 522 954
35 368 721
584 100 575
1478 537 523
709 721 18
970 721 15
1326 689 715
681 1371 447
1065 1193 203
574 43 466
877 1145 185
1391 989 464
76 962 443
972 880 1000
531 1435 86
116 41 958
590 596 457
538 91 749
306 1493 210
752 505 741
166 890 609
448 558 220
646 1454 485
1223 102 481
527 228 428
411 440 509
96 853 856
232 337 477
458 521 635
1293 905 793
1304 264 508
234 501 474
397 635 288
976 1467 762
1167 926 497
829 1101 12
564 1413 161
177 1333 750
660 735 910
332 995 240
100 452 667
722 278 939
1289 80 250
751 134 298
724 670 95
612 187 428
877 1371 612
215 129 826
343 428 188
454 182 66
70 1422 541
813 1444 502
647 1160 256
458 501 615
833 1304 982
1240 561 946
1172 762 788
1151 147 772
1398 209 504
740 1104 644
876 324 67
1382 866 203
1259 210 359
533 108 75
746 932 447
6 29 726
1247 597 931
1241 1170 232
67 207 288
310 105 663
972 60 620
885 1440 148
1237 1077 50
337 1148 466
1455 357 896
487 1071 608
129 155 938
237 1378 470
552 882 140
336 1333 460
907 1326 260
1406 20 753
1191 242 100
58 647 615
800 820 45
1446 282 737
685 523 512
409 1382 453
251 741 560
1133 764 23
939 405 612
707 1166 157
965 625 800
1466 53 407
325 724 19
375 776 434
397 1081 121
178 685 771
239 102 671
594 1305 425
420 1310 475
1386 201 358
1187 36 953
992 1069 88
1398 1184 308
421 214 685
50 674 265
1374 456 720
341 776 64
67 651 912
624 1491 98
710 1465 937
1227 61 559
580 964 79
1076 1178 356
1121 1496 780
668 1376 148
1477 748 527
445 387 918
958 1026 461
1206 325 278
1153 1462 140
444 430 80
1331 109 358
1029 653 581
1398 120 858
542 1418 625
820 1110 328
401 166 460
42 52 292
1361 844 707
1083 44 516
347 1330 541
513 1077 847
119 1223 736
1170 114 720
1353 739 541
660 1035 399
236 187 303
537 117 437
907 913 188
623 704 767
1338 533 553
777 1456 940
551 418 553
917 662 110
1462 209 834
712 93 384
1444 923 528
1414 273 61
533 1220 933
1499 553 679
1035 913 25
1495 1181 519
924 1442 368
900 1499 514
331 275 112
701 329 288
1070 753 336
100 814 323
39 1431 346
567 889 694
1246 1112 233
1241 693 110
375 995 26
882 757 933
830 1349 861
326 781 815
796 72 529
715 248 532
1310 865 280
621 967 546
316 403 59
769 1107 438
796 1354 869
1054 127 106
207 205 68
1322 1499 964
92 625 312
180 869 777
619 1226 70
498 147 679
1173 402 864
1457 194 46
1403 638 678
703 374 522
361 541 575
792 863 604
863 919 291
576 890 284
766 1303 705
1088 467 215
648 1371 737
1198 1457 724
405 1229 566
1280 423 401
216 1010 960
1069 673 341
350 1066 453
1436 1032 594
724 864 796
143 744 721
1055 320 846
1095 980 717
298 13 737
728 1277 539
1476 793 843
1327 1217 407
1246 110 197
397 358 189
872 1047 67
304 1204 538
637 960 234
772 95 609
1321 445 380
451 1346 975
118 180 575
505 608 939
1080 1210 51
1193 1133 50
566 917 594
998 824 68
729 1485 954
1310 1470 311
994 575 860
357 822 794
1387 1328 438
583 1242 586
14 942 353
1095 725 779
1133 10 91
1061 516 164
1009 1219 914
855 1187 777
1489 407 918
1270 1326 553
181 1431 905
101 42 880
649 1345 510
546 28 118
1470 1392 225
276 212 852
328 357 991
207 810 447
1375 1337 824
702 853 358
86 1201 307
481 45 526
664 1083 2
1253 892 765
1348 814 423
1284 1286 463
1047 1062 50
1296 355 10
35 667 86
821 606 808
1122 931 880
802 367 36
1056 748 189
764 1079 238
786 859 730
884 1480 339
190 1173 44
