8100 10883
3420 3689 992
2034 84 179
3797 4919 899
1583 2612 433
1865 2712 914
6933 1180 469
927 3589 122
417 2255 388
1800 4344 668
1327 6069 715
5404 4627 539
1176 6335 162
3639 1417 366
6358 2245 527
3303 5359 443
1173 3585 441
2579 67 376
415 7868 834
1366 2872 945
6006 3802 836
510 1704 533
5566 243 941
2316 4958 716
447 4681 834
4244 8067 372
2390 7604 869
6315 3252 741
2265 29 597
4744 7527 969
2303 3143 522
7816 7521 506
3740 3665 858
64 3010 642
4049 6598 747
2154 6672 76
4972 3293 876
7162 6160 284
802 733 289
7962 3910 200
2039 4429 581
4884 996 915
6859 3912 429
3629 4146 73
1697 1350 363
1324 5881 73
6084 2934 256
7225 5372 591
1473 1513 306
4477 7593 567
3843 3171 439
6626 4979 272
2404 3980 756
4049 6511 15
7888 5899 79
4000 6716 508
872 6599 841
4166 4085 114
243 198 932
7565 3018 454
1863 1587 861
4045 910 126
6057 4448 881
1377 4875 118
570 1063 750
3190 7221 736
6405 7169 396
5923 6933 995
1533 8052 430
7879 278 128
235 1819 881
5408 2253 653
2085 2723 403
8048 4973 107
6660 8 864
2851 2157 545
3398 7138 840
1591 7411 130
6950 4783 381
4796 1182 821
995 6039 200
5878 6037 160
1794 5078 675
936 7109 371
2019 450 71
5845 6740 81
1340 2537 213
4562 4644 114
5982 7359 197
2947 622 150
8094 5331 346
6069 724 63
7617 5876 824
2221 773 470
7710 4442 771
4542 1745 946
5816 2117 260
2038 3340 287
818 1711 771
7654 5642 61
262 160 818
3046 2475 11
2646 5120 74
7216 6500 391
4402 3240 819
2353 5777 958
5449 2381 311
4033 6426 942
785 7059 759
6576 4273 828
2752 333 218
6965 2979 595
7243 7436 558
4583 5565 288
172 1721 315
7606 5224 863
2961 5712 339
6290 5664 207
4819 1552 769
4708 1860 922
4533 1520 488
7203 5967 164
968 787 849
772 1126 596
4289 2888 970
3070 799 125
5360 6301 10
7066 2851 716
4490 1103 746
3847 4673 555
6616 3874 259
1050 158 453
3359 286 676
720 3879 743
5185 5480 249
3099 1065 433
3855 3204 720
1234 4174 225
2934 2379 743
5692 2273 621
7799 2776 995
4167 822 723
1990 4970 299
491 6218 812
4490 2207 746
2263 2934 147
5998 188 386
4032 344 719
5940 8017 434
5217 3666 677
1241 7165 16
7531 3534 305
6222 7850 63
409 5003 55
7599 7530 120
3437 5606 80
7997 1358 287
3470 2397 951
2512 4316 643
214 4262 287
1636 3409 122
1393 6097 384
1488 3276 752
5928 7978 976
1752 1178 953
474 2693 747
3384 2688 456
3237 4786 407
1911 6320 47
4964 674 56
3359 7406 603
2990 2448 234
57 7327 297
5804 2552 475
1699 822 780
7624 539 43
4783 5072 165
7539 4869 204
2090 5639 140
1256 2219 751
4557 6443 402
7364 483 312
2982 6963 23
791 933 977
7521 3514 493
5065 5420 180
5477 8096 689
2352 5050 864
5510 4379 675
3931 7786 417
5738 7679 939
7590 8012 295
7663 2580 416
2785 5200 57
4449 5368 535
3243 3782 258
5812 6208 747
4918 5761 584
509 984 4
1534 2442 565
7826 1187 716
3354 1883 302
628 230 456
3965 3316 880
1149 6170 483
6755 207 121
2940 7840 688
7906 7846 318
7183 4007 446
6222 996 552
2714 251 998
1304 4127 413
4385 3116 462
3293 3737 659
5225 4491 224
4184 857 519
3992 4703 823
4000 221 215
149 3869 272
4582 4203 335
5424 4307 651
4499 2766 990
6461 5847 596
4042 6211 375
2427 3339 722
1751 530 923
5974 4965 11
3107 961 702
6769 4487 864
7309 5167 516
6130 2111 441
3422 285 215
2465 709 730
6865 2450 136
7086 323 776
4436 4 747
5068 430 662
1816 7459 600
4948 969 821
798 7967 672
7745 3473 111
7913 4628 468
1537 6802 956
1043 1048 210
3170 1001 371
7542 2543 738
7559 4444 960
7141 6530 256
825 6933 73
2106 2581 372
7107 3853 569
1058 828 722
3955 714 337
4588 5346 2
3226 7360 875
1853 230 245
302 2767 2
3090 4031 258
5301 941 744
5604 6444 16
6178 5797 859
552 7124 873
899 2757 3
6620 728 968
4664 7070 398
6641 4639 163
5256 6257 714
2340 3034 752
3190 914 615
3483 5629 197
1984 2085 941
1856 4335 69
1278 3133 309
6076 5609 705
2627 669 856
6970 251 605
845 4425 755
1345 78 250
931 2423 675
6559 1365 126
7520 4909 246
902 3102 646
243 1976 417
4128 7986 940
7931 683 67
3360 2297 202
6076 1497 60
3253 7589 476
7387 4870 412
7363 4275 602
5746 4351 563
4022 38 621
1930 2980 871
3317 2492 990
866 3748 998
8021 7849 110
8049 5839 548
3917 298 536
1945 7196 471
7700 6075 947
5834 1031 433
6632 221 586
5904 3295 278
8084 2549 808
4457 432 211
5361 110 950
2472 7744 704
1868 268 224
42 7426 155
5484 3137 870
1098 6820 732
326 3141 327
5488 4193 891
5689 1410 770
5882 6922 116
1920 7829 466
2788 3660 732
6509 4724 368
5508 1491 771
3260 7264 720
7855 1878 902
3145 6674 207
7339 6191 160
6402 7313 449
3362 6805 939
1730 1702 468
2968 5949 414
949 2274 428
6750 42 623
6849 2647 638
7319 492 773
3924 2787 759
5382 1770 256
2800 7258 613
2076 2823 562
605 900 879
1362 4640 823
1911 4929 110
5901 2160 320
5397 7411 687
932 7126 280
4557 7317 882
4388 3474 9
2322 4109 349
7185 3603 388
3230 6219 29
2386 715 812
6383 3200 775
4073 2043 504
2266 1666 803
5002 2473 444
4650 1752 93
368 1579 82
5077 7752 28
2537 6937 753
291 5071 919
4371 191 272
2353 1742 657
3236 3742 462
3096 4502 814
4491 7570 596
1054 426 751
7018 7017 712
7496 7921 1000
4321 2385 688
5301 5100 562
4923 2790 70
7685 4638 333
1014 1327 810
2516 6945 60
1192 2591 443
1 2399 919
3313 7946 613
7470 7069 787
4148 2069 989
99 7355 566
7556 803 324
6970 5503 56
4841 5528 247
4952 220 880
7900 1281 844
7062 2391 508
1457 1232 306
3265 3899 431
6398 6719 196
1810 6432 54
1645 4708 68
4166 896 196
355 5404 907
744 4825 240
8020 4163 700
4009 3849 736
4195 7900 407
4984 7450 593
3504 6512 43
6629 1474 763
4130 3656 422
4392 5975 747
3301 7715 615
7586 3591 662
4140 2200 635
6937 7469 829
5975 5318 69
4900 5313 771
5556 5794 350
6405 4925 539
1875 998 635
772 4238 196
7864 3563 248
6976 5279 578
3906 6875 17
407 1113 656
6159 1553 634
4983 6044 321
2366 591 43
4175 7883 225
1611 1964 842
6917 6556 361
1598 4718 853
3818 989 139
2131 4806 601
4070 6134 717
2057 95 970
2433 3223 423
726 6062 571
6902 121 142
5410 267 146
3866 5685 28
1327 685 244
1149 5364 126
416 7747 775
628 2917 550
6032 2396 924
1701 5775 341
8049 3470 403
5295 4569 208
628 4657 983
1120 478 472
1105 6653 120
7010 3042 541
1189 3445 564
4085 7711 645
5197 5253 661
2889 4466 212
7528 8057 200
2452 736 493
3005 3167 729
1102 1831 489
5414 753 189
3497 6338 857
6688 3542 415
3791 5734 424
3031 890 165
1226 4873 21
5695 8099 630
2696 4348 213
7825 3947 965
5908 2417 730
4105 6011 730
8003 7 566
7134 3918 792
3320 3503 54
266 4050 139
7173 5505 161
1751 6873 274
7696 593 135
2834 5557 632
1805 6510 786
1451 7021 452
249 3431 605
1 4589 385
1237 2256 707
6948 6284 747
1457 6135 998
2838 611 879
7345 1544 528
193 6895 96
6033 2928 572
3442 6483 922
2888 2615 722
7988 7070 964
6475 3827 809
4831 4784 870
201 6959 657
6299 1764 162
6234 5147 187
7477 4122 170
4286 6137 735
2091 2227 257
904 5764 675
6568 2397 382
7456 852 854
5500 6676 149
2630 7027 823
72 239 23
6459 504 323
4656 741 704
1547 4700 113
5206 1961 265
7235 1173 876
5547 264 58
3855 6592 119
7208 782 200
2653 4946 12
5892 4885 114
6427 2423 393
6945 5047 556
123 6875 119
367 7596 248
7689 5755 442
1764 4668 16
1469 2691 328
875 1168 513
5875 3495 415
863 7556 183
7352 3355 111
2595 2655 751
3073 3723 515
556 4313 83
7174 676 433
8004 2279 258
6147 4448 35
330 7183 330
7886 1064 575
1549 187 135
3689 1988 54
5141 2039 366
7423 4713 488
5032 3884 891
6190 5576 605
1513 6148 401
2107 4081 426
6773 431 292
3477 5230 33
5790 7193 602
2401 6086 707
1586 6443 909
883 3843 290
1267 7562 615
5619 5898 45
5570 5647 451
466 5601 252
6839 6169 1000
5111 7924 544
4975 658 801
6564 5422 389
5312 2050 677
5269 3867 361
7326 2192 61
6306 7058 266
3307 2212 293
154 575 735
5805 5838 885
5119 62 935
1570 1266 995
5680 7830 838
746 387 386
8054 1667 342
5666 6281 646
121 6284 180
5298 7728 55
4624 3949 896
1028 4348 748
7627 4643 745
2574 7433 261
1937 3213 991
7779 3770 51
4958 219 548
7129 1170 775
394 1222 861
5830 6529 349
606 5774 759
3306 1014 461
7651 5967 741
3533 3427 591
4028 6200 180
6679 7928 32
1126 7732 951
5827 5270 101
2743 5726 881
4510 575 305
7483 1867 770
6111 4986 884
1404 193 517
7254 472 150
6420 5086 643
2325 5615 157
6950 2642 334
4120 2271 290
5306 3499 339
3811 6225 962
5725 5397 35
3415 5959 567
6666 2967 349
5353 4791 447
2471 7247 781
6204 4972 203
6574 7272 957
5130 1672 87
7916 6661 578
3454 6470 69
6484 1050 117
3476 4318 969
759 2715 889
7551 467 619
4728 3385 737
3256 2545 999
2285 725 105
1819 5011 841
4726 1797 595
1923 2036 290
1551 957 299
598 1596 200
7935 7038 561
2012 5507 340
5157 7658 96
841 2497 632
2021 4848 747
3416 6592 802
1669 4182 508
2562 168 195
807 2056 570
6811 885 901
2574 1760 217
7822 6576 624
1131 346 522
754 431 117
2589 2789 409
7492 7514 233
7304 4035 960
1179 3476 122
5447 104 699
5152 3111 554
2540 1389 839
3796 3383 56
674 1332 862
3829 3535 591
77 769 181
6477 3448 549
3366 4962 299
360 1861 177
3420 7469 131
3107 7753 960
1811 7132 108
565 7195 460
5702 4184 619
4326 856 785
7368 3206 34
3096 4242 184
7811 6188 978
6736 2795 296
3532 7728 964
2295 2906 882
7447 7339 381
947 1454 764
2414 7189 131
5659 1740 230
4320 6590 585
3126 1371 715
511 6524 401
6377 1708 724
1547 2098 99
7391 801 840
2059 5556 730
2683 4722 476
3398 3525 143
2822 1910 580
999 182 579
5576 7142 711
3910 7373 556
3971 7636 108
4783 3047 366
4285 484 803
5427 6960 636
7318 7527 876
2637 543 535
7812 5755 491
7604 2217 690
4872 4837 918
5835 2714 72
7187 7070 969
7026 8082 62
587 7114 635
7007 4737 401
887 1501 10
5708 3711 802
5999 5803 788
6767 6553 619
4495 2973 652
1565 315 383
1377 2058 836
4392 580 403
9 2666 86
891 3714 954
5130 4076 916
5515 7042 331
3480 5626 477
3763 4372 736
6218 37 292
1519 3952 699
3964 492 838
6607 5389 834
7515 6748 18
4063 7008 438
854 284 381
1299 5306 858
1973 7415 553
5969 5769 825
3628 8098 272
7085 7339 620
7719 6709 177
4944 5044 167
3209 4341 457
5292 6822 985
1603 4231 614
2010 376 863
4557 4104 423
872 169 253
4738 1461 503
5653 6051 182
4573 6841 783
4756 5372 40
5063 454 604
4912 6055 48
1651 6688 69
4163 2559 906
1856 2952 996
2668 5508 362
5662 7780 729
5071 4871 224
6461 7710 857
3833 1848 259
2168 1404 944
3740 2428 604
833 3348 762
6747 5549 592
7044 2335 520
7837 6682 985
2045 577 452
6593 5122 974
5087 4846 87
3405 544 916
5090 6472 69
4444 7638 593
3082 6084 338
3760 3619 55
6163 6121 789
2966 5994 331
2039 6805 837
8045 4584 736
2509 2947 154
5258 6562 904
5610 143 27
2472 4867 424
2081 6114 656
4436 523 167
3039 1153 515
7937 4768 558
6756 3842 98
3554 2824 378
6853 2027 429
8065 4234 985
1229 2327 481
6834 1535 974
2810 6447 393
641 4062 300
3528 334 151
3187 2546 542
3838 1667 827
6173 7454 525
1363 2445 648
2559 3484 817
7326 5363 677
2267 732 919
2946 5939 197
7039 3583 387
2979 3962 624
4912 3255 86
6023 1739 589
3350 1163 329
4103 4842 384
7269 6741 369
7432 1707 65
268 1072 454
4825 4432 443
4319 3210 346
865 2581 931
2399 6709 401
412 5006 934
7204 2617 18
6147 6273 340
6681 3373 49
4318 4155 149
1278 2541 568
2740 4431 520
6756 372 41
376 2805 293
7962 4360 496
581 5355 775
7067 4812 965
93 5839 560
3634 5820 785
3501 1340 473
4422 1109 390
769 6703 708
2169 5734 688
7471 2990 110
4444 3951 330
3511 6339 560
3208 7048 896
3016 4187 681
6406 3802 60
5703 4476 428
4115 1291 555
3998 1005 840
5024 7013 570
5758 4139 308
6197 4130 563
5945 917 394
5473 1664 749
1951 4943 881
3628 5411 986
3105 3682 804
2656 4531 706
3889 4236 37
773 7936 601
1733 8061 977
6161 6633 623
723 7274 433
6671 7405 236
3571 321 252
5090 5450 282
5064 5584 172
2429 349 226
3333 3936 508
7182 6890 938
3800 1612 618
606 2762 123
7076 7420 965
2489 6138 856
1391 3999 6
1385 2432 58
1400 4232 790
559 5584 728
6145 7926 998
1650 3302 387
1192 2394 683
7046 6739 33
6138 580 450
2723 492 271
4096 5025 856
6611 7817 220
2225 7208 800
4973 2797 995
4181 6033 7
2836 1662 225
5017 7250 392
4795 1563 159
856 315 352
6268 3111 965
5595 3054 935
705 3017 314
2304 820 996
254 2500 879
5928 5149 930
6021 557 468
5654 4750 300
2560 1626 729
2298 7127 345
2203 5105 44
6422 2738 700
8004 2664 795
1362 3419 694
7027 5085 608
7389 25 711
1892 7853 626
5102 2514 192
6540 3983 988
5118 3753 846
5210 3927 344
1620 179 72
6117 4110 458
3810 7401 193
1047 2992 181
1836 288 792
1783 1423 216
532 3397 809
7573 5359 282
5262 7210 387
5771 5306 711
697 7592 850
3670 682 174
4404 5352 373
1098 769 720
5046 691 1
1161 4070 745
767 1154 711
1211 5620 594
1564 7967 806
5103 1998 334
2893 148 863
4726 2806 687
3805 979 808
2078 2318 509
4156 7430 307
3117 4488 998
7326 5076 832
2365 2284 54
422 858 96
6220 8097 10
4967 6087 436
3708 3298 193
