2300 3559
1166 99 460
1565 407 96
1789 894 446
1014 724 209
1404 851 882
742 453 901
30 888 834
299 1228 13
2095 509 276
352 298 409
1470 75 769
2154 747 21
640 1006 970
1520 1067 815
2022 525 74
2235 2159 924
1247 1473 395
2043 1950 273
438 1580 84
24 2291 506
1731 1708 232
946 777 978
132 2215 548
2218 623 404
2090 1509 982
399 231 187
1974 1861 443
1780 972 133
761 88 215
1798 1218 443
1458 1894 887
1243 265 554
2236 342 638
1307 1598 128
1253 150 419
809 197 467
1488 1532 870
1306 512 899
561 2124 989
2016 1351 85
1121 1797 550
1893 907 585
1668 1180 251
1707 115 908
283 1434 106
551 768 740
1707 1995 970
96 463 741
904 384 601
1057 628 280
1040 216 467
636 175 513
2197 573 391
490 2232 242
1793 923 659
223 2181 589
342 1460 423
605 417 4
1349 2148 623
236 882 670
888 2002 679
1383 1779 708
1592 1902 993
890 1466 762
111 473 704
1088 876 970
255 1954 307
1366 1199 105
1141 824 48
1834 1822 201
266 623 750
2169 1598 362
1251 1802 622
844 1786 877
312 27 223
1970 2022 338
1873 733 282
1917 1191 876
985 893 182
555 277 238
1780 2130 262
1544 1011 376
482 1861 635
1849 1193 617
137 747 324
297 1605 368
213 1866 54
2142 2277 809
1309 825 645
847 2056 159
1064 1910 330
880 1297 508
1682 1188 300
1537 1972 53
2197 2012 279
1430 301 767
2212 410 846
743 567 666
496 1380 377
2134 2109 623
1599 270 750
1729 823 370
745 1220 810
1685 969 232
841 1343 905
1872 1724 394
796 420 352
893 1929 746
1356 1757 115
1737 1509 673
2167 78 723
1626 679 779
1172 1488 396
479 672 875
2196 152 495
1074 1206 815
400 1789 954
961 1934 727
2297 1703 873
955 259 428
1282 53 820
224 900 961
1557 793 496
1627 1951 858
2009 1766 793
2188 1301 610
1676 1744 491
2138 1281 935
334 1528 483
1217 166 651
522 310 202
231 1524 592
1850 1208 276
65 1184 274
1133 2057 867
2097 161 939
696 1896 682
253 2253 884
846 495 786
670 2175 337
1823 2059 234
1937 1145 481
919 1715 637
647 156 888
1068 2261 847
711 255 309
1266 543 379
2143 2178 750
814 1193 566
751 1125 91
65 1459 287
1010 739 10
918 210 967
1417 1801 325
922 735 966
481 1845 652
1686 2003 530
1679 811 343
1058 1769 162
2115 1362 253
861 1579 300
38 1992 187
191 1846 761
2275 188 264
1282 92 124
2033 1285 13
2219 750 174
673 1540 551
583 417 783
1472 1965 694
1328 1760 370
333 749 114
1593 91 828
176 1495 975
66 1752 608
2167 144 786
2026 1670 292
451 2112 316
909 1544 908
485 2161 243
1179 2133 786
1368 1182 753
928 1201 198
1114 17 447
1920 1683 939
2061 1823 193
941 678 615
135 970 728
717 992 235
696 29 505
1107 2132 231
1573 1468 445
1414 900 956
1057 87 716
1678 902 370
1185 160 629
1599 2047 163
1481 1656 488
1015 200 647
1501 2296 800
1047 403 417
2189 1712 662
2196 771 860
1321 63 250
252 1305 451
34 2148 783
2091 155 920
37 135 683
1808 1230 959
268 2175 891
87 1429 877
1383 994 778
2015 494 428
1170 680 723
1059 302 768
364 329 696
1272 1957 940
669 346 679
1584 797 576
1760 148 687
1006 1557 208
970 1704 427
1066 1256 648
243 1787 818
781 2257 529
1742 665 794
1479 684 426
1402 1845 920
925 1285 94
2257 1979 838
1584 1931 650
625 780 306
1671 1081 351
291 2109 358
241 2188 515
1661 1540 92
2118 1648 437
1455 839 870
24 539 112
483 1422 312
2190 245 684
1509 8 189
2170 1312 938
2213 593 334
1497 1995 894
1799 1463 264
1250 33 610
1568 304 631
279 1278 478
1492 182 788
154 527 796
900 388 367
1304 230 294
1997 315 881
620 1306 216
750 203 434
428 633 149
778 56 779
1571 906 748
1989 1730 215
1171 446 808
1177 1418 355
351 402 362
272 1284 266
431 1912 515
1866 2262 579
1771 1255 115
1408 2010 989
92 393 853
602 2101 295
2154 166 806
199 2019 102
879 939 270
1991 1507 583
2209 119 376
1719 648 939
