3900 3952
2864 2162 242
603 176 269
2232 522 164
2592 1806 653
1279 3430 33
1961 444 533
2661 3131 689
3480 575 459
558 1950 245
1465 3519 816
3300 3181 239
3748 2720 29
3002 695 576
2439 3311 262
3487 2140 534
716 2601 153
2097 2004 917
2497 2099 510
1246 2532 267
3875 37 675
2683 1363 519
2336 2644 691
2789 3861 512
721 2356 464
264 839 79
243 1233 580
2236 2867 458
285 3355 283
1108 76 911
3003 3488 349
282 1430 528
185 2107 34
1981 1592 244
2934 401 414
3171 1082 462
743 170 107
541 2965 262
1906 510 703
2937 3685 369
3351 481 24
1025 2696 612
810 2950 773
2382 1467 244
1591 2474 821
2535 1636 988
2617 3647 309
3081 1139 80
818 565 706
621 1828 279
1606 1921 747
3159 541 386
1562 2513 698
384 1041 898
628 68 791
870 686 375
1965 2357 327
2126 626 663
1077 3863 348
2768 720 858
1976 1094 415
1438 2283 938
2099 1060 101
1234 3827 950
4 676 335
1553 1165 704
3828 317 214
492 3318 86
2929 1321 522
607 2104 490
959 3476 52
2765 2480 153
3544 838 86
2938 2791 894
550 1220 493
1078 334 809
2189 1419 317
2276 1752 937
3634 673 395
3006 305 602
965 1642 205
1919 1835 377
3265 2517 668
3789 3134 635
1669 1074 755
3742 400 81
2411 3603 653
3090 747 758
3103 390 16
3691 2257 850
968 1013 292
188 126 263
1148 1971 41
2879 2608 391
537 241 423
2527 3057 158
2577 1728 312
687 1392 631
3155 78 403
2919 3337 650
1026 3133 365
1005 2172 864
3278 2539 953
3453 1761 595
3860 3372 788
1172 904 636
1779 3882 468
658 199 347
361 1710 112
1840 452 155
3072 3101 590
910 2794 889
1063 493 516
882 2475 102
1533 738 136
1622 384 163
2305 1355 650
1725 577 563
2651 2586 16
2423 2983 135
1002 1713 924
1054 3490 642
2017 2864 438
3412 2815 901
710 2567 39
1766 1554 34
1091 2543 384
830 2822 619
579 2772 544
1106 3191 361
2680 1754 420
3826 3659 557
1097 2853 334
246 1773 719
1752 1111 892
2928 11 512
1221 1718 46
2167 2316 773
2122 2776 579
140 858 883
2119 2993 501
500 61 368
925 2711 999
2046 3698 106
1052 1748 240
3557 1375 636
3089 373 24
2555 1274 223
1126 1526 999
308 1166 286
3394 2406 933
799 3309 855
2176 2554 759
2071 505 906
1153 2907 830
1938 3563 509
2642 232 647
343 821 654
874 3277 444
3211 1721 566
1198 193 994
390 3242 786
2419 2766 902
2408 2841 898
1690 1366 226
1173 673 477
3218 1026 734
3188 3105 715
1166 752 485
534 3525 781
3859 1084 256
1614 1832 876
3254 711 497
3580 2823 82
2308 676 850
3031 407 423
2068 2154 547
2074 3382 671
2518 2229 207
2700 3290 796
2283 2244 557
325 232 838
3426 3247 111
2162 2778 691
2903 837 430
707 1978 696
2705 2752 978
1316 1372 854
1594 3559 547
1625 955 838
3742 1567 698
3115 1865 149
1718 1303 90
3564 2431 911
956 2086 710
2116 2806 965
3610 1723 54
