2900 5390
639 812 542
1637 193 505
311 2065 850
892 885 385
1652 946 511
254 320 884
1620 658 392
266 2511 883
1958 1676 133
1688 1139 957
1277 2599 663
1955 623 327
2001 2626 423
2128 1315 200
1997 1652 52
489 148 708
1954 146 971
412 1610 689
1157 16 644
942 2826 626
1225 2882 928
2273 2496 313
2887 2067 829
2668 2144 779
2176 1581 33
1621 2801 927
2706 1488 534
1555 1265 599
1519 561 796
700 91 406
328 1541 938
1223 1342 779
2458 1892 138
1990 267 353
488 187 827
1390 10 430
1685 2873 81
1469 2494 400
268 838 786
2756 1071 113
1992 1586 253
1740 700 198
96 141 707
1734 2418 617
277 1208 868
1292 916 8
168 2622 406
2497 2554 796
2039 1692 24
2580 417 484
775 746 848
1785 505 109
42 438 383
2746 762 436
2373 180 368
1062 17 237
1582 172 894
1777 757 669
2183 1357 47
2466 2535 494
2466 2276 253
1364 329 561
775 2647 583
2795 2615 494
1788 1830 483
1632 713 133
2622 474 237
808 626 118
394 21 633
2170 377 784
2335 1825 114
204 301 221
1964 2501 628
1642 1217 961
498 1998 67
2648 2830 438
1182 2259 971
1128 1890 252
658 67 441
2231 933 921
362 1190 480
252 1845 745
1828 2885 59
2868 2187 57
2190 393 75
1242 1510 249
743 210 607
2023 2480 35
2008 2110 98
55 2802 749
1098 2042 681
2056 11 286
2771 910 820
192 1969 564
2382 1690 603
2258 2368 853
538 2106 116
1720 210 258
473 1658 83
508 1191 405
120 2318 451
0 1090 792
1792 2869 315
2607 943 956
2055 441 606
1916 776 820
1260 807 178
23 2158 760
710 2270 966
2149 480 198
2812 1571 776
991 714 232
294 1275 782
184 547 635
1816 1744 823
379 1514 738
305 924 543
1405 1866 627
2826 622 806
1621 2736 513
2290 1078 398
1520 95 410
1478 1137 80
2366 2306 850
2613 2573 375
2229 2316 596
2544 2774 593
2548 293 210
1463 199 130
2298 624 938
2553 1710 9
2630 1897 463
779 2273 899
300 2740 980
2232 1121 738
1311 496 481
1479 2433 232
2147 1690 458
2230 1364 740
2403 106 324
350 338 803
695 2238 43
949 2698 361
151 838 892
1551 1291 47
2339 1754 153
1899 2248 730
1184 1739 716
2571 1685 790
576 2822 286
1254 1488 136
659 1661 420
2188 561 328
2196 1693 760
2113 446 944
1712 772 837
105 2327 160
1797 1653 133
1365 1431 855
1950 2314 180
1223 2362 705
934 1309 635
1655 1162 228
1351 1901 136
2574 977 837
657 1796 391
238 20 387
581 188 913
746 382 613
1783 1555 15
308 2459 493
797 452 318
2637 1705 484
1756 825 238
299 1356 942
1796 547 9
2882 372 662
39 1060 252
93 2555 255
1665 1245 59
1763 2742 62
154 1624 672
854 2780 539
1317 2899 119
711 1787 876
1943 1092 963
1238 1828 317
910 2252 365
2739 187 501
1968 2876 370
946 9 63
1050 1447 76
2191 307 252
1000 481 887
2841 715 486
1695 563 316
2359 917 941
2199 2036 174
987 2248 105
2658 1235 94
184 2311 634
2663 2183 799
1311 1555 570
1573 2322 322
2153 2881 279
2871 860 148
2146 1441 588
1167 247 332
1745 76 288
1758 623 649
1546 1112 275
2078 142 59
2587 1934 665
2748 1290 939
2423 190 9
2148 1153 183
1486 235 933
1468 1451 295
1969 2887 668
2167 1222 940
2187 1337 928
157 1041 192
287 1464 782
1126 2272 888
1914 2325 695
100 2674 204
1592 1216 549
1602 846 975
1060 2327 119
411 914 84
627 2239 394
2425 1416 607
123 517 859
25 789 990
541 1965 726
151 2700 356
2248 652 910
1297 987 97
2227 2880 334
2327 1008 793
342 335 432
2617 2120 693
2415 1896 48
1093 2458 599
617 1869 573
337 1743 948
600 2890 663
1934 481 359
2557 898 984
737 1951 465
1905 748 696
2372 1660 584
2373 445 919
192 1701 139
1995 407 783
649 289 348
1412 2265 543
1610 715 294
2616 2021 645
2699 559 636
706 1775 648
304 1926 438
1996 890 976
566 2873 773
217 1188 75
732 1239 121
739 1771 149
2134 1791 727
2387 76 79
1864 730 577
665 663 10
1851 2236 706
53 203 611
125 643 666
114 1986 868
372 2874 685
1581 339 181
2137 2875 366
