5100 8227
190 2137 269
4090 1100 759
1300 1084 182
613 487 948
4482 3904 160
1703 1273 156
2583 1041 500
1777 2314 977
5081 4774 357
799 4640 457
3642 242 445
1200 3605 986
1844 4994 188
2115 1108 725
3930 3633 752
3791 3789 238
3533 1935 667
398 2441 810
2061 14 322
1777 3303 680
3095 1884 41
361 4626 393
4702 4989 863
2204 3560 471
4009 3168 508
4192 5000 662
1752 4950 447
3617 1154 459
3172 5069 955
732 1515 769
1282 4127 576
293 3912 177
500 4594 305
1465 1815 484
305 3335 971
1582 4160 814
3673 2817 679
1116 4966 196
3622 2199 229
2644 991 281
604 3159 93
1290 4065 655
4326 2594 660
3300 1146 210
3651 1960 621
3964 1769 468
156 143 283
4939 413 49
3184 1415 788
2115 2681 808
2690 5039 778
198 4638 961
5029 2299 326
3941 3645 789
3708 2018 734
102 1707 939
4 3293 517
4322 3998 926
3019 4781 977
3235 3495 166
4442 4153 574
493 2653 566
4838 4565 583
1349 4231 684
4452 1876 592
1471 3530 767
244 4628 358
4453 4594 88
1269 4972 154
4573 2423 334
1634 1146 873
4079 4125 930
272 1956 576
2590 2857 220
2027 3005 600
3618 4750 45
4293 3671 401
1088 3335 385
3222 4009 374
2067 2059 287
995 151 880
4989 4850 362
4082 893 367
4291 686 735
2702 1214 445
4178 2454 386
730 709 109
4274 2243 613
1267 1996 848
2440 2392 900
3145 4953 975
4096 626 835
2321 1226 945
1495 4671 743
3053 4549 693
454 1307 849
4381 164 751
383 453 923
1621 2965 540
4187 973 149
434 3979 756
1450 4871 776
372 4345 442
3734 1067 273
1896 3745 425
4076 3060 711
4017 325 678
213 1666 910
2748 444 755
1171 2601 232
3276 1498 374
189 5040 14
3442 594 601
2887 2677 300
1171 3659 181
1188 830 447
3594 2507 985
2854 1228 468
71 4391 287
767 1246 635
1951 538 638
3337 4511 238
2222 4113 508
2672 1843 692
1294 4210 337
2774 38 920
1399 4731 358
1456 13 884
4028 3921 241
1454 1059 797
3392 469 960
4815 3368 274
4752 1648 449
4867 2950 589
2635 2445 533
2557 2970 792
4204 94 956
4671 1318 874
1104 4355 497
3049 2874 458
2939 847 679
2509 280 846
4260 1150 319
2741 4297 824
2931 4936 948
2417 3602 193
3300 2535 942
4185 556 348
2157 1780 998
3100 4908 743
2460 3740 314
2190 2259 119
122 746 718
2421 1075 814
1126 1269 932
2363 3409 149
1597 2706 937
3286 1438 981
283 4614 486
4214 544 401
1544 556 836
5063 906 617
3782 796 631
4713 2004 314
975 800 765
3261 2705 314
1013 181 958
2492 4924 469
617 0 167
4708 4839 603
2164 2812 677
3763 457 948
4917 1399 257
4370 4474 6
2292 107 37
3845 4141 291
3073 3706 612
1660 4509 414
3365 2872 353
4343 1044 491
4027 4821 384
3364 3237 55
569 4075 448
2480 1790 646
2932 2480 922
3781 1843 289
3534 1861 364
874 2936 427
102 5062 356
815 3417 467
2634 4870 121
2146 3000 340
521 4379 649
1075 1172 307
4286 326 804
3445 1700 594
2243 2882 876
1250 4091 33
3920 958 769
2130 3467 114
2318 4329 228
2383 1531 708
438 550 335
2245 4680 616
3968 3089 414
1258 3906 77
1521 3079 707
3807 3644 450
2453 4758 286
2184 3338 663
343 3566 687
3173 4023 63
2940 996 139
2109 2799 129
1901 548 399
3662 427 645
4196 4697 71
2349 2385 171
165 1061 599
3643 1642 681
2673 2374 472
3833 3669 773
1779 2597 259
3750 4157 625
2972 940 615
941 3382 262
471 3814 171
3476 4913 662
884 4612 378
5047 852 624
1132 1883 906
1853 3841 933
1044 3976 24
4378 2946 49
689 4883 226
1105 1331 268
3826 1705 216
434 1277 542
4498 3502 775
2288 838 232
1897 2775 366
2252 1637 528
5008 1041 142
2547 3369 925
1963 515 572
2733 1731 96
1081 2000 985
4903 2538 311
2510 4691 553
340 4240 560
3774 4937 785
1817 4225 725
3166 2157 609
4993 122 911
4144 228 863
4727 3727 500
1648 1015 848
3790 1153 47
4647 690 121
2344 1051 721
4889 952 372
393 4889 523
3122 4549 348
2703 3832 944
3114 2166 958
4572 2891 24
4777 1925 139
2763 1774 505
2632 2795 837
2804 718 893
4316 1901 20
2848 4323 131
4145 498 488
4949 2702 221
5081 2289 82
4162 1322 544
306 4967 197
4223 112 577
2204 919 451
1701 3727 255
306 305 843
1947 5035 267
1355 2329 23
1633 3821 248
4500 2460 593
1989 5075 22
622 2805 723
2181 1154 538
2114 1858 825
4690 3839 554
3310 1885 705
3424 3958 807
3732 4843 12
2266 458 132
4078 699 485
732 4203 97
2804 1581 691
1895 1964 107
2370 422 597
4889 1543 542
4854 3819 8
4777 2066 302
107 2503 573
4846 324 270
4883 3245 631
4822 3592 993
2427 2798 493
4856 3473 653
4039 2844 676
2235 5050 79
2448 2908 897
1178 1295 43
2141 1012 170
1505 2216 97
2983 5057 532
2041 4364 176
4589 4539 917
5050 2252 741
948 4544 393
3787 3931 733
