8900 12912
3622 6256 981
5197 3508 56
7092 5687 806
7791 8708 186
1858 9 369
2428 3509 741
3000 617 168
2238 4853 360
6503 4980 553
1209 7775 183
4418 1583 224
1086 6937 486
3572 2358 363
340 8886 755
1359 4109 675
5188 6428 846
723 1256 630
5775 927 905
5047 2722 600
1577 2493 507
8373 5216 239
726 6574 992
362 901 441
7361 3966 39
6645 6637 537
3286 1727 253
8075 2404 409
5733 2771 884
6470 4781 7
6472 5579 421
8301 3936 559
1926 7779 459
2407 6257 968
1610 7389 665
1776 6137 93
2673 1753 186
1305 2345 368
3570 3206 97
6672 2495 695
2108 1354 951
8621 1138 30
7178 166 672
7902 2511 211
8094 4845 218
6383 5784 814
8274 6161 271
2356 3771 313
4879 7354 167
7747 7457 597
213 4481 366
4406 5747 688
4567 3276 553
5606 2728 139
8768 7327 700
783 6501 286
7392 545 642
4453 5080 201
4610 4605 543
1473 6577 545
7843 7297 576
8771 4896 344
8456 2178 719
7278 6822 758
5615 7304 18
5749 4932 210
113 5555 709
748 3333 477
1578 4677 593
1312 4563 816
7146 4865 560
2244 6760 32
8698 1360 770
4170 6505 136
7372 7612 487
6892 1383 223
6965 4995 944
5213 4964 898
4987 8354 379
119 2551 825
8117 6777 527
4206 1001 639
7711 2913 851
7166 2369 464
1862 7747 659
2690 6077 230
6146 7204 626
8697 8825 313
8321 3037 47
7607 7130 3
1761 5689 742
4643 1844 360
809 2922 491
5938 5849 606
3428 6673 231
7391 3428 972
1558 8296 382
6236 1922 340
4969 7420 279
408 4679 676
4330 1087 297
1952 5426 837
345 8375 800
40 1839 718
8553 2484 101
2328 796 914
7294 1800 160
8773 1636 63
822 6022 35
4276 2107 122
122 4082 673
7637 7098 45
4823 3677 641
4676 7610 649
6128 1114 429
2764 6054 117
1746 7875 93
3344 43 996
6488 7971 46
7513 6319 17
2253 4093 507
8288 8726 205
8113 301 844
3194 6090 394
2735 5166 601
2194 3293 614
5628 8084 959
6140 6658 733
8643 1439 170
8225 4413 332
922 940 548
7855 5375 773
5225 3480 544
1808 1543 579
2630 8029 971
323 7711 846
3465 8622 3
2786 1313 769
108 7891 806
6817 1086 569
4324 3562 927
8370 1037 241
5446 4620 654
997 5763 209
3129 3322 490
