3300 6539
2977 1351 778
2332 2180 508
3078 348 385
1920 313 53
693 758 136
3030 1089 10
218 754 314
2187 80 901
2004 2791 786
1424 3275 942
2609 2200 978
38 1351 39
2327 2057 175
844 2555 365
703 921 802
241 1260 119
465 1400 469
1347 226 475
927 1565 592
1924 3049 628
2167 646 693
2941 1069 92
1703 385 916
122 1134 956
742 716 792
108 1255 357
1814 2422 61
1852 2374 103
549 309 786
1106 170 12
78 1051 972
2644 2366 597
1791 655 369
2538 1938 802
2018 919 643
1714 2090 123
785 2074 402
844 122 417
1200 489 994
661 2504 71
3112 3086 745
59 3113 720
50 2771 135
1088 2827 677
2049 1522 59
2756 1628 124
203 325 585
580 1693 954
3107 1652 193
267 931 786
2417 594 304
2934 1270 229
2249 216 251
1854 898 152
1259 491 756
2286 1093 949
2117 2828 927
912 2255 122
3221 476 864
1095 3065 629
1203 2550 669
78 3051 921
1680 545 610
3067 3145 348
2363 2057 985
223 1349 678
2265 161 400
2591 1916 25
1640 2434 236
1107 706 276
912 2809 913
1263 1841 883
190 1054 863
1034 891 68
694 1152 919
2744 975 190
19 3098 701
2017 2608 307
820 839 949
2607 1241 649
2453 1983 604
241 3015 374
2200 1818 322
1198 1941 484
51 2373 808
1742 1821 566
495 1784 281
2350 1355 222
1599 1835 804
1100 2310 343
77 3192 659
1983 1910 333
208 1212 326
3281 1389 739
3149 905 852
696 1670 590
998 1229 38
344 2013 917
518 2396 405
8 2552 852
2616 2362 338
427 99 352
715 2746 548
1387 123 965
125 2516 697
590 1336 630
2992 1613 645
1514 1204 783
2490 2773 715
2693 1856 252
532 1232 212
785 3154 521
3019 3175 722
1196 119 147
1284 2011 489
2466 1281 702
2793 1659 422
2213 1591 906
2612 1861 936
1800 229 124
85 922 603
816 302 768
3236 1305 67
2003 153 738
2112 1030 143
106 1749 303
205 3263 381
119 2502 744
343 3019 283
1817 403 443
2712 2143 86
1039 142 415
2366 2521 840
208 745 152
3297 1093 765
443 2655 961
2681 2031 987
