4900 8969
2690 650 954
2591 4566 923
1733 4836 727
2428 4198 889
3353 2535 289
1277 2064 141
3150 2521 401
3799 3359 181
2488 1283 618
4361 3574 748
724 1124 126
2872 1085 531
2612 453 136
3720 3882 528
840 3853 506
4273 814 225
3963 811 53
3147 3287 44
67 3131 366
4757 3402 201
2549 2938 622
4655 3365 681
3455 799 971
4829 3371 175
4704 3337 354
2654 560 670
2515 1745 752
4530 3466 6
4174 151 729
2673 3133 98
4895 4720 376
4301 1639 608
1724 3455 919
691 2778 487
3993 4705 396
2939 1197 361
2616 980 792
4741 2699 555
3640 2284 208
3855 4748 615
1520 462 582
3843 4718 885
911 1880 841
4565 835 416
934 1532 558
1002 1436 433
2694 2121 867
608 3398 408
3556 47 434
3749 1459 418
845 3403 400
3229 500 741
404 2227 720
64 4088 458
3406 1173 164
1887 3775 233
3021 3894 672
2046 1286 656
2117 3351 485
1776 1946 579
2454 2430 939
1879 3045 454
1763 3182 167
2767 1544 603
1664 572 271
2226 4856 685
4088 607 46
4702 4354 32
1799 120 63
4454 602 695
2906 3980 124
2711 2766 456
38 2143 672
790 1056 439
314 4263 778
2490 2103 163
1175 626 623
3788 3881 512
4659 1676 475
2503 4374 316
2922 1100 887
79 2408 856
3711 2162 339
503 2135 294
3258 1082 399
1693 4210 831
3646 3569 727
4128 1670 615
718 1431 760
600 1491 697
485 2419 469
503 3533 292
279 2933 61
1900 1370 742
4848 1133 884
2818 2926 344
1155 3009 428
4591 206 209
3212 3362 374
4059 1966 746
1486 1676 1
2469 3345 108
4652 3955 594
4664 3320 579
4257 704 978
2751 1152 326
1199 2758 501
4487 1801 832
4867 1793 822
183 4033 231
4035 3142 968
1685 2833 666
680 2940 767
4565 2085 802
4597 1299 228
3720 4791 656
1669 734 887
313 442 308
4652 3423 489
4552 1567 166
1455 453 271
3194 2409 478
3462 2460 799
2465 4848 101
4737 2061 459
1768 1021 724
2605 1769 331
210 1589 486
3608 2074 114
170 3347 432
551 2293 259
1024 1520 580
773 4735 738
706 1853 600
3689 3155 276
2181 2767 173
3902 1771 977
2553 4823 431
2950 3737 399
3712 3776 892
1662 4864 551
658 4254 283
2629 1035 404
151 3220 182
1087 2725 719
1788 452 388
1696 4475 503
2865 3760 88
4755 579 396
2393 4049 653
1032 2439 511
3942 4302 426
1351 916 249
3495 2487 554
1953 4415 101
3844 1219 682
968 2057 170
422 1397 757
3456 1494 584
3180 3458 63
4344 4751 223
4819 2810 693
1548 3901 822
4198 2030 808
1008 1561 175
1176 510 373
3095 1951 359
2802 2130 225
2108 2845 329
36 219 230
3625 2659 716
953 137 282
2764 3841 502
4470 4389 145
678 963 221
1824 1529 772
2499 4192 643
1174 3072 131
4379 38 759
2680 2665 512
683 4482 739
2473 2282 182
2338 2878 795
4718 3947 710
210 1309 626
4111 3125 601
288 0 315
2945 4109 823
4584 4286 501
2887 4543 85
859 3305 631
2711 508 192
690 1484 437
4326 2969 949
612 4829 142
1213 2258 124
2308 1147 635
4440 3279 504
1252 3259 280
3912 1205 980
552 2950 270
1956 3582 853
1618 3701 31
3377 3580 438
2021 3588 727
915 2965 43
2542 1343 629
3548 3878 103
3799 4273 863
1577 528 947
806 2011 761
2102 1659 222
785 182 967
1272 4502 251
2361 2510 315
3692 1583 911
161 4190 582
2394 2287 232
2142 3095 374
1956 1011 681
3785 4898 672
4062 267 616
134 4508 508
195 2979 900
2175 3340 73
1743 551 291
1722 3966 573
3965 61 19
3179 3705 858
4509 4761 565
3369 1795 177
1342 1148 682
2361 2534 883
1049 2978 978
2081 2271 677
246 2485 452
2829 321 815
3488 2459 454
2117 3521 154
1100 2343 236
2660 4561 302
4092 2162 494
4213 2075 976
1659 3110 557
456 3463 804
2375 3381 855
4031 2097 985
1697 4441 601
372 4023 744
3209 1173 571
4791 4383 665
1954 2141 146
1187 3216 967
3616 4864 610
4051 2349 403
1777 1187 105
1042 2545 199
2295 4632 476
4734 2436 751
3662 1451 9
2722 3661 352
3713 351 352
2425 1216 408
205 4875 822
3944 3153 21
2780 3968 561
4156 0 913
4167 3139 64
2704 129 849
4666 3182 637
4522 4803 614
2507 3982 782
1509 4537 861
763 4893 843
2469 2746 480
2791 1774 89
4834 1318 975
2266 886 256
2742 1110 123
2773 4381 207
1098 3186 789
1798 2755 396
92 3688 865
2540 2819 968
3234 2837 687
2633 3938 383
1964 3215 145
121 1697 608
2724 1933 451
1308 2028 211
3264 4891 937
656 1172 26
1645 2549 138
3190 578 341
4346 3304 551
4288 4335 253
4 3367 232
935 3605 229
3089 2377 24
4247 3315 862
2794 4072 666
2941 4763 646
3463 4572 951
3098 2437 178
4874 816 393
1274 601 627
2833 2875 503
4521 1651 599
4798 743 747
1976 4010 64
335 3849 35
4511 3312 254
1492 3846 529
2659 545 33
2624 4156 794
3769 785 910
1370 2335 19
1505 2422 275
1635 902 360
1110 272 136
4709 2990 832
3128 462 268
2473 2274 199
4715 4375 762
4641 485 555
2788 2970 488
3306 4077 180
3996 1903 579
1974 1788 152
1212 2959 338
1471 614 709
4239 2757 907
1688 4340 4
388 3581 612
4510 40 32
3524 1035 948
1761 3657 395
1074 1894 12
4333 4031 574
3371 2776 497
3964 4864 540
1982 760 988
1701 4007 503
4131 4304 265
473 291 623
4827 2263 822
2631 1737 471
3048 1786 88
3544 2114 543
4535 4864 393
4273 2410 837
292 3624 907
2280 2942 859
2634 1828 300
1707 290 644
4898 2830 14
2584 2288 295
2156 573 293
962 1590 545
740 572 988
730 3823 961
3446 976 981
2282 3234 933
3195 2113 306
2840 4888 253
2980 4558 322
3604 3679 876
2541 48 504
515 1944 386
3401 3684 738
125 3194 380
4256 4442 229
448 539 454
327 4200 296
3142 1198 393
4602 655 30
1314 4104 445
2354 4233 38
3862 2843 180
141 488 643
190 1001 232
1136 2635 863
4037 1979 388
3343 1882 486
2213 4642 448
3858 4829 422
4113 1158 212
4647 2787 145
1108 3562 723
2042 1606 79
162 2535 956
1388 4673 787
1979 4654 486
2737 3414 249
815 4570 699
2012 1743 175
2311 3505 145
1989 1622 150
1524 1734 641
3822 1009 513
1098 3296 152
221 2655 303
1938 3255 267
1087 3157 877
4613 2656 286
3093 27 809
3920 3160 759
1887 3837 750
598 2407 437
808 2351 325
1055 1148 214
535 777 513
3073 4716 857
3647 1032 199
3794 4786 265
569 716 172
2569 1966 739
1209 809 206
1656 155 852
1668 3547 383
2519 456 602
4662 4427 484
3377 3352 607
13 1206 788
1489 251 76
2817 2407 562
2337 1762 4
572 3974 254
3453 4185 522
714 2098 250
4500 2407 130
2118 3205 988
1458 1367 90
3677 1843 610
1247 2959 991
2053 3197 271
1945 1498 95
2421 3557 313
2084 3239 587
1942 944 576
3874 3298 36
417 349 184
4044 18 217
3772 833 680
4513 3408 246
670 4294 247
827 2258 785
1335 3584 74
1104 978 16
