4500 7815
1629 2707 92
1347 3661 484
1263 2816 178
3579 3217 75
676 3782 480
1511 3943 354
393 2650 776
1996 1957 820
2380 2746 722
3629 1064 661
1919 1122 852
3163 432 971
899 1559 102
2321 1951 148
1526 2278 881
534 1930 136
2747 2063 325
379 824 955
4396 2724 962
3404 1077 263
3240 1377 184
2068 2882 98
830 350 844
1832 4157 400
259 2811 654
793 1428 690
939 2399 160
4170 157 800
1237 3116 119
3659 1018 980
3424 1523 6
4111 2794 753
2947 438 673
3375 1526 56
2614 3772 307
3175 22 131
131 526 911
3652 2158 95
721 3595 787
4241 3623 60
1255 2097 201
3372 1082 310
3786 4343 426
1742 3803 818
1182 3523 389
984 203 1000
3429 4096 629
3282 1319 755
292 1099 29
3585 1599 102
3687 621 326
1964 3791 350
565 3116 403
4437 4449 6
199 3165 38
2925 4352 690
711 3451 687
3453 1273 141
3087 2773 203
2581 3786 328
1476 2665 904
981 3828 538
3654 4499 458
1394 3586 38
254 4283 736
1750 3534 329
3201 2053 470
4054 2236 513
233 2865 122
1544 1016 465
507 84 790
112 662 927
4379 404 110
593 1645 587
2967 4420 134
623 2593 808
2304 4133 124
1408 1786 439
905 1878 28
3548 1157 400
3777 839 943
1867 419 708
225 1205 668
1565 3828 259
347 3217 376
4449 421 956
3863 1130 918
606 1703 965
1398 4129 875
149 1469 130
3659 1888 931
3864 1540 132
4048 2945 175
1534 3335 673
4206 2040 407
4157 2105 946
1771 4213 943
2467 3936 907
4348 3015 896
3577 2670 452
2534 2957 53
885 298 195
4249 2153 702
3355 2903 145
4040 3129 77
1583 1250 23
4070 2560 108
1887 4421 49
2740 270 527
2369 2664 645
1388 3718 307
935 1291 939
2418 1584 749
2138 2546 480
1132 2216 150
948 3358 802
2407 2379 45
1686 2124 728
2026 3662 864
92 341 773
2595 2627 40
3036 3777 44
2952 3097 810
4291 3251 416
4031 2016 512
1814 4411 205
3292 3107 178
496 2646 667
658 934 936
2930 3640 33
3714 2241 518
3226 1924 861
4183 2910 197
136 2212 856
100 174 198
3575 230 614
857 4271 370
1674 2011 239
312 525 823
3580 2321 640
27 781 697
2747 1937 502
3023 1439 309
2516 3730 752
2002 1964 533
2837 1058 160
4068 3318 585
4275 2790 438
2163 3764 171
2422 2488 823
2344 1805 232
1395 1707 869
4407 3248 529
2343 3396 761
3518 115 925
2238 2551 400
1631 4197 974
1573 2119 155
2119 84 965
970 1337 923
3687 4349 881
144 2694 776
3535 1125 649
4283 3078 770
2255 4258 805
748 206 742
3240 737 714
2159 2294 618
1703 4226 817
3707 450 86
824 4101 789
3892 3616 305
4071 1932 166
3854 1404 703
4046 3970 710
1278 2529 939
1638 1673 897
4321 354 133
3918 2939 825
1160 617 331
2357 1356 665
2318 2546 83
1101 1677 27
3595 3128 747
2854 1420 321
2193 4482 442
2356 4440 136
2122 1467 633
1504 3209 478
910 3405 461
641 1913 463
1636 1403 423
2510 2575 940
248 3343 339
1073 3086 944
911 1488 255
1358 4043 650
2671 1711 776
3441 4315 230
645 4052 272
602 694 406
401 1939 169
