6100 6231
3353 4141 450
1888 2706 109
913 5312 447
4186 2897 208
3956 5168 554
2385 1891 285
574 5695 371
4130 3938 220
5732 1071 610
806 3065 883
5179 4026 440
839 2053 761
3489 4163 587
3900 5893 23
3487 2736 250
3851 5519 533
2620 398 827
4223 1496 430
5780 555 714
2417 3074 84
5711 5541 821
1930 3657 676
750 2708 62
1771 4538 38
2885 4814 345
1774 53 416
3898 1820 660
4766 5221 958
2781 678 197
3174 2440 458
1240 4931 499
31 1289 510
558 1267 294
4041 1400 271
2063 67 542
5998 1876 599
3528 3472 591
4947 2847 277
364 1461 806
5129 754 341
774 4199 627
2175 2470 753
2697 1828 667
2267 5118 679
1876 2861 825
4442 2226 516
1482 6007 423
806 5699 605
5445 3698 580
5713 1790 246
2187 965 623
5547 1921 971
5643 3303 269
660 1198 850
1072 5756 647
4568 2601 523
559 1484 984
1805 2931 481
69 5719 313
1298 5198 511
1067 347 431
1533 4753 755
3213 5333 818
1478 4659 308
1349 2727 669
4411 3126 768
2890 2123 657
2442 590 675
1835 1660 209
4768 2625 428
2268 5802 725
859 4130 601
3642 2731 558
1084 896 760
36 1070 961
3605 4697 735
5841 5561 269
169 1734 348
4636 5483 983
755 2853 700
3611 5065 991
333 5620 106
3529 3150 430
1414 4726 55
5591 819 306
3122 418 710
2365 2433 322
655 501 425
1112 5497 294
3047 1203 681
2583 1420 423
2229 3096 199
4416 965 764
591 1823 989
399 2499 57
2793 1685 726
5812 3165 490
793 466 442
1843 5900 707
6071 4852 288
5872 1786 663
3399 2631 47
3545 6034 178
3554 1778 460
4879 2500 599
4692 829 884
2992 5565 974
2144 3480 187
554 455 594
1701 865 771
2446 3766 956
3256 3522 989
4465 3356 119
3405 1593 198
2839 3895 283
3794 3129 586
2624 2991 279
5969 509 811
2468 2595 569
136 2123 61
2072 5197 768
3286 33 532
2643 695 705
535 2662 826
1717 5754 336
4485 4183 427
3260 3853 988
5150 1263 945
1629 1088 875
3149 1967 507
1053 3787 377
3480 894 980
2090 3835 978
4784 5129 833
2058 5185 738
4237 4121 147
4766 565 641
1345 4671 305
4028 3500 157
4277 2373 888
3693 2203 589
2423 3832 580
2464 4886 12
4144 1541 836
5424 1446 479
5851 4641 742
769 1750 697
1254 4929 81
1200 3908 656
1783 639 638
3999 4857 937
96 3522 17
1889 5195 890
3870 2438 150
121 21 180
1309 3449 236
1337 2011 808
5286 509 274
4859 1151 751
5927 2430 112
353 872 594
909 1858 685
2433 79 167
155 2528 609
255 1711 960
780 4861 47
3289 1830 554
6079 5163 393
5179 311 882
5257 3369 290
2572 5615 787
1591 3650 121
989 3393 657
3182 2035 204
2558 3840 873
1614 5982 142
419 2304 772
2348 2092 70
41 613 437
75 5700 264
4597 3502 458
5511 1779 954
4000 2573 407
5993 1303 235
653 4871 992
3721 3828 155
4462 3620 364
1819 2178 409
4788 3193 511
4202 4248 430
3403 5776 46
1818 249 807
5991 5594 789
2790 4281 670
4650 784 984
3148 198 149
4103 4931 429
4570 2221 229
2872 3554 980
6054 5973 634
2006 4801 708
2501 5471 669
2920 3934 372
259 5597 804
1846 3181 514
2170 574 430
3868 3240 761
2084 1710 54
243 4277 11
2772 5367 898
3049 600 83
1188 4916 666
2553 3386 904
2990 1870 684
1016 1317 494
640 4920 47
625 3126 886
625 1821 359
3286 5970 453
5840 131 300
5178 2710 937
253 185 610
3741 625 422
98 2849 539
2876 2186 942
1179 6002 505
2500 5178 65
1040 2632 402
4888 2133 339
2374 2905 310
4132 2325 406
2665 4730 203
4090 5120 85
4184 1385 270
437 2050 523
4688 5483 203
64 4823 13
300 4956 655
5026 689 255
2937 2696 912
4316 162 758
4034 4468 582
1937 5185 662
4138 4082 892
5410 1710 958
3050 1103 327
5911 3650 914
5570 2560 831
5076 3488 912
1375 4539 694
3919 5419 114
3649 2841 234
5887 5672 331
5872 2903 442
2362 5270 609
6026 153 927
3964 1471 338
5962 75 505
2396 682 622
3730 1746 828
2391 2138 17
4900 2519 350
5021 1799 483
792 606 870
903 4903 511
952 4655 591
3311 5622 157
5671 3200 555
5856 4975 693
2251 6070 770
3500 3261 591
5556 4409 97
1626 5958 418
3171 645 439
5388 3414 211
6068 3642 962
4335 752 273
2542 543 144
3041 2307 759
1513 4160 337
1687 2792 281
2587 2320 924
2983 4733 879
1533 1376 743
6072 5861 969
2518 6039 923
3216 5839 621
128 1721 159
5558 3434 317
5969 5082 220
601 5259 394
223 5732 889
21 1587 392
1837 3404 74
4807 3488 72
2955 802 553
5523 231 663
275 4050 981
5997 5118 789
