7100 9804
6692 6328 798
104 623 495
149 6822 879
907 2570 735
3134 1242 665
2539 4125 592
563 2403 118
216 1896 195
669 4550 865
4393 94 209
5348 6761 255
1767 1038 967
6637 7054 730
6157 5036 982
5284 3254 296
2282 4634 379
5900 3487 931
3914 4666 768
4194 5921 358
1639 4908 698
734 1013 126
4550 167 782
2659 2763 43
5917 2966 855
683 6403 177
4354 3792 682
5085 1479 989
1488 1259 296
1380 2214 103
2964 990 940
6204 2863 426
1803 4080 9
1079 2491 450
3368 530 942
1355 4256 337
6293 3933 96
2762 5758 743
3608 1676 148
3009 3217 805
3796 1669 129
2526 617 916
2968 323 414
1648 3676 258
5915 3242 613
2170 2246 86
2925 6682 885
6035 1288 585
1010 4141 20
5698 3406 819
5220 5988 407
5099 4823 856
2445 6861 588
4274 4332 447
5384 5494 976
4979 3388 193
146 5396 820
4600 3206 179
3198 4090 942
4249 5349 69
6675 545 690
3058 6560 440
1078 6986 720
6330 7044 401
808 2845 358
5870 3338 201
5635 3122 659
3554 2612 110
5977 5470 33
1453 5171 120
1374 1283 906
5026 5768 446
1365 2346 254
6830 6879 183
5000 6728 129
5999 11 218
3976 4298 227
2640 5621 679
3930 1290 349
2971 5747 65
4547 3226 259
3142 2384 494
6995 4586 803
411 2535 394
626 2209 923
4699 4169 9
306 5339 930
6719 4128 817
893 5514 799
7059 6399 658
5973 4655 62
4042 2049 704
5153 6658 33
1560 6586 468
4798 6489 588
1027 687 597
4743 2609 543
2591 4301 482
117 2500 612
5114 4777 952
2923 1820 22
5370 1171 254
5207 2516 231
2457 4059 784
6826 2345 534
2455 5017 285
6778 2811 966
1917 2162 731
6337 614 995
4032 4223 496
2329 3672 675
3660 2504 411
6939 440 868
3438 701 663
1947 5379 895
1410 743 264
3566 4636 460
5832 936 374
6008 5032 24
432 1466 983
3424 1461 980
5164 721 386
5689 3286 175
1938 3659 97
1976 6565 529
421 3190 206
626 460 475
4643 3087 17
6423 489 671
6512 4265 86
2037 648 140
511 231 85
125 731 314
2346 4015 533
1133 3588 118
5198 1567 853
5829 5879 645
6068 7015 250
6357 4525 528
1480 3994 473
4002 5535 497
4305 2939 798
6800 736 546
4078 826 411
5067 429 60
540 663 666
4939 2220 65
6211 2854 950
4246 1811 691
5017 5272 964
582 5906 135
1300 3127 478
2309 1376 797
3279 5241 128
6615 3083 291
4939 5187 638
2094 582 22
4137 686 915
6672 2256 705
2115 1097 289
2958 2337 508
1731 138 595
1028 305 302
6428 2210 688
645 5240 330
860 5771 59
6218 75 988
3185 1156 913
1657 1911 231
1964 1328 451
6290 4653 773
5874 566 256
1904 1071 362
376 3339 221
273 6330 783
6178 159 39
4527 2135 93
822 956 259
5524 5256 771
4211 1236 656
4254 4072 107
2316 1711 709
4637 5449 11
4721 450 483
4506 5333 656
5656 5362 366
1558 135 471
5613 1485 770
1595 4805 307
4349 5748 71
70 4759 843
6014 5052 546
4374 2560 290
1707 6658 764
5014 6603 192
2790 5230 660
6467 482 858
6645 255 482
873 3774 188
6670 409 809
6361 811 393
6985 5548 83
3297 5056 304
3429 6745 364
54 592 906
3888 3361 585
3903 3774 701
2251 1436 40
499 2927 661
2243 3488 335
42 628 139
1610 1510 314
1200 21 625
4790 5947 317
1047 1818 206
2190 5468 57
3537 4026 375
916 4157 298
5896 4190 127
6614 7066 921
3114 2255 405
1705 794 909
2839 783 868
3348 4814 151
2681 12 403
5323 5992 13
4458 1651 908
2429 3043 175
5138 3049 613
4168 4331 63
3530 5107 498
6106 5059 729
3606 6473 414
2374 4964 446
6554 1845 396
1371 1065 161
3381 5906 45
2258 5594 357
1982 1555 776
2261 1701 44
3283 3141 183
6038 6062 192
940 4071 403
4208 3866 400
4330 3106 545
3069 3834 434
6246 1999 758
5300 449 525
99 4480 152
4205 4472 136
5478 5163 679
4924 4868 639
1959 6551 431
6308 2289 291
1951 3290 168
6653 4733 973
1461 6415 420
4985 2877 779
2945 1105 503
3633 994 491
2306 561 72
1726 1547 6
5398 287 867
2664 7066 340
3016 2110 258
2087 4511 233
5588 2030 70
2968 5098 163
2316 1871 78
1797 3399 175
4358 2279 621
797 7065 959
6359 1180 47
5217 4510 693
3943 6682 712
6060 5206 878
6412 5721 206
5265 1626 462
1649 5117 823
3689 4880 450
5685 4755 22
4604 5294 378
2663 214 866
4520 4429 600
3495 2893 118
623 989 299
271 4678 452
6610 1945 504
2252 1398 106
3424 2671 256
1195 3568 533
4389 3605 30
5516 5115 383
4723 3571 491
5791 6055 850
3597 869 382
1928 2961 713
5284 1917 855
271 2819 187
3590 446 198
3979 1201 970
1706 3402 537
1224 2822 967
374 5061 533
2767 3441 297
1715 4988 15
4662 4856 270
4184 2124 248
3101 5848 405
4013 3796 878
5460 3793 52
1903 4407 381
3365 6623 877
1650 2100 582
2188 6833 542
2550 3640 417
897 1370 470
4497 5151 642
3925 3225 180
6018 3623 171
2568 5436 720
4035 6705 178
343 3517 746
5194 4486 539
955 2822 773
4286 6378 634
5931 3657 764
3847 6893 580
6388 6236 839
3312 403 484
905 3225 885
511 5191 382
3287 5272 37
1261 2728 391
6122 6934 203
2964 960 80
4666 4104 321
4827 6786 356
3886 6978 705
246 3762 131
6109 1242 634
2098 5536 966
5431 7097 529
5014 5527 833
5196 2403 409
6533 2908 320
3289 1177 878
70 3313 556
5062 4293 546
6895 4024 843
2003 5125 563
2977 2159 554
6086 3451 594
7092 1128 461
1258 6795 266
3372 3592 630
2775 6882 927
571 3586 958
4321 5515 652
3504 2585 658
2772 261 232
3145 2208 76
5196 2643 345
6220 2351 71
6472 1942 18
545 761 599
2078 5564 564
871 6595 911
4310 3273 804
3523 2597 767
2879 544 669
315 6147 193
1609 180 136
5879 2902 338
3191 2855 555
3824 1339 987
6942 1992 311
2399 4282 114
5073 5120 109
1315 4252 638
2833 2070 607
3400 3691 348
340 3604 437
4504 60 331
6750 2737 524
170 5459 348
6288 4155 209
503 2671 650
5697 3708 856
1027 4277 444
701 1423 726
139 5751 435
2442 6377 481
5498 6789 164
2948 6594 115
1429 6912 629
2848 3537 838
3346 2160 635
283 4716 46
7036 4702 916
2501 268 693
2802 2055 44
945 2125 662
1798 2168 967
6104 2592 548
6509 3450 765
666 2805 877
6019 6033 270
6958 6670 457
154 1285 682
3953 6858 993
4255 2758 563
250 5641 681
3277 6703 543
4828 2200 702
509 3532 935
2680 3227 506
1113 2047 19
5068 2944 851
955 6768 685
3697 5007 910
1830 2089 512
971 1879 695
4217 5169 676
5369 1520 436
6503 6877 630
6531 6458 127
2754 5349 932
2585 3968 116
6905 4715 177
2721 3582 806
6994 6949 563
2809 5780 655
5128 5987 816
855 3461 792
2781 1107 418
5659 1816 593
3195 3180 317
3146 937 588
6030 642 655
4150 6065 589
6312 4677 387
2509 5878 628
2404 4545 535
3238 4195 379
301 4224 217
5259 516 339
1087 5312 196
635 6745 808
5953 1911 750
2527 6903 580
6283 3089 242
4277 4691 347
6751 5384 917
2695 5173 194
2601 4355 256
4345 2366 143
6600 3612 609
2551 4502 96
714 6338 393
1623 4827 649
3150 2377 922
5536 2362 335
5841 2899 297
6120 5455 904
3169 3726 342
6402 5677 54
6466 3894 44
4161 6636 365
3910 900 396
3178 5561 595
3686 4953 954
3285 5464 790
2367 4607 409
1068 225 275
2262 1803 566
6640 1231 954
5245 4485 526
5253 2015 232
3715 6591 390
5253 247 331
730 3055 833
3161 1367 695
940 512 197
5164 2388 811
5471 19 769
5713 3179 884
7011 1666 491
4317 4806 357
5053 2707 894
3964 5398 372
3078 5955 142
5697 387 769
6140 2961 893
5736 2752 182
1730 6312 561
3411 2375 100
2197 2083 666
2045 4181 254
4602 4947 274
1194 4818 713
4654 3442 974
5650 4839 926
1953 6299 66
6686 2245 944
6609 182 129
5187 3186 722
1499 511 173
2040 1265 138
3593 5780 690
5654 3787 920
455 591 616
5733 4844 950
1600 172 641
577 5649 994
586 6480 354
6747 2371 243
2909 3434 638
4762 3611 56
267 4830 83
1167 3437 242
4930 58 3
2908 903 590
5122 3197 368
6059 1739 968
332 6661 781
7062 3029 334
4259 2522 600
6582 224 509
4300 6987 792
153 2460 90
2265 5928 265
4091 4564 172
1942 1153 249
1862 6046 906
6601 928 227
6186 1174 159
4444 286 462
2666 5930 589
1625 6837 438
11 434 630
3104 6583 312
6427 3259 567
261 6189 135
242 6105 501
6907 3046 673
2636 1004 903
3265 844 797
340 1191 55
4350 3449 73
5977 2947 370
3186 3939 625
2785 5135 307
6748 5391 283
5089 5409 297
518 6274 587
102 3215 33
1657 6523 717
6869 3447 203
3742 4507 106
4281 1660 824
546 2101 973
5826 5575 239
4383 3956 467
1643 3041 688
5762 4222 79
2630 5453 754
1098 2807 506
198 1336 760
1330 7096 932
880 4249 352
2722 917 846
4817 6244 75
2958 5652 557
763 1291 562
5272 4976 246
6818 3082 100
5535 3907 230
998 6917 699
144 3303 506
2934 4288 507
2089 160 94
250 158 823
3559 7064 36
272 4372 346
2641 3032 722
811 3519 738
2318 5440 828
2829 5391 113
1292 3708 930
28 2179 330
3419 2132 234
1640 4153 66
4283 2417 132
19 5821 546
815 5115 718
394 4842 538
963 394 445
6387 6390 522
1934 3937 411
292 2058 189
3446 871 471
6066 4118 783
2823 3999 314
3341 6653 813
6292 3749 877
4725 5998 756
6269 3821 314
3051 2719 751
4132 7049 10
4462 715 922
5148 6114 173
3866 2499 810
6726 2723 624
1049 3291 67
5582 1670 430
5572 504 853
4434 3033 461
7012 4890 438
85 1506 509
384 4916 515
4796 4540 392
3201 2178 982
6604 6084 765
5279 6784 550
5967 6860 825
2941 5502 613
1414 1882 444
4333 5657 702
593 2323 743
1359 3616 935
4195 6370 41
